round,category,operation,inner_iterations,mean_us
6,hash_path,Merkle-style hash-path update N=50,1000,5.2156
6,hash_path,Merkle-style hash-path lookup N=100,1000,4.292800000000001
6,hash_path,Merkle-style hash-path update N=100,1000,5.8104
6,hash_path,Merkle-style hash-path lookup N=200,1000,5.0596000000000005
6,hash_path,Merkle-style hash-path update N=200,1000,6.2085
6,hash_path,Merkle-style hash-path lookup N=500,1000,5.584
6,hash_path,Merkle-style hash-path update N=500,1000,7.1528
6,hash_path,Merkle-style hash-path lookup N=1000,1000,5.932
6,hash_path,Merkle-style hash-path update N=1000,1000,8.000399999999999
7,crypto,SHA-256 (256 B),2000,1.1077000000000001
7,crypto,HMAC-SHA256 (256 B),2000,1.6112
7,crypto,AES-128-GCM encrypt (256 B),2000,0.58205
7,crypto,AES-128-GCM decrypt (256 B),2000,0.5995
7,crypto,ECDSA-P256 sign,300,19.184
7,crypto,ECDSA-P256 verify,300,48.816
7,crypto,ECDH-P256 shared secret,300,35.90533333333334
7,crypto,ECC-P256 key generation,80,11.64375
7,crypto,X25519 shared secret,600,22.6165
7,crypto,RSA-2048 sign,50,432.404
7,crypto,RSA-2048 verify,300,15.995666666666667
7,hash_path,Merkle-style hash-path lookup N=1,1000,0.7992999999999999
7,hash_path,Merkle-style hash-path update N=1,1000,2.1515999999999997
7,hash_path,Merkle-style hash-path lookup N=10,1000,2.5264
7,hash_path,Merkle-style hash-path update N=10,1000,3.8049
7,hash_path,Merkle-style hash-path lookup N=50,1000,3.9612
7,hash_path,Merkle-style hash-path update N=50,1000,5.160399999999999
7,hash_path,Merkle-style hash-path lookup N=100,1000,4.4239
7,hash_path,Merkle-style hash-path update N=100,1000,5.9632
7,hash_path,Merkle-style hash-path lookup N=200,1000,4.8553999999999995
7,hash_path,Merkle-style hash-path update N=200,1000,6.364199999999999
7,hash_path,Merkle-style hash-path lookup N=500,1000,5.452
7,hash_path,Merkle-style hash-path update N=500,1000,6.8893
7,hash_path,Merkle-style hash-path lookup N=1000,1000,6.033600000000001
7,hash_path,Merkle-style hash-path update N=1000,1000,7.3751999999999995
8,crypto,SHA-256 (256 B),2000,1.193
8,crypto,HMAC-SHA256 (256 B),2000,1.64215
8,crypto,AES-128-GCM encrypt (256 B),2000,0.5872999999999999
8,crypto,AES-128-GCM decrypt (256 B),2000,0.60265
8,crypto,ECDSA-P256 sign,300,18.95433333333333
8,crypto,ECDSA-P256 verify,300,50.09766666666666
8,crypto,ECDH-P256 shared secret,300,40.754
8,crypto,ECC-P256 key generation,80,14.6475
8,crypto,X25519 shared secret,600,24.123166666666666
8,crypto,RSA-2048 sign,50,424.532
8,crypto,RSA-2048 verify,300,16.236666666666665
8,hash_path,Merkle-style hash-path lookup N=1,1000,0.8001
8,hash_path,Merkle-style hash-path update N=1,1000,2.0796
8,hash_path,Merkle-style hash-path lookup N=10,1000,2.5206
8,hash_path,Merkle-style hash-path update N=10,1000,4.0294
8,hash_path,Merkle-style hash-path lookup N=50,1000,3.6584
8,hash_path,Merkle-style hash-path update N=50,1000,4.964
8,hash_path,Merkle-style hash-path lookup N=100,1000,4.2193000000000005
8,hash_path,Merkle-style hash-path update N=100,1000,5.698300000000001
8,hash_path,Merkle-style hash-path lookup N=200,1000,4.777399999999999
8,hash_path,Merkle-style hash-path update N=200,1000,6.4335
8,hash_path,Merkle-style hash-path lookup N=500,1000,5.7474
8,hash_path,Merkle-style hash-path update N=500,1000,6.979
8,hash_path,Merkle-style hash-path lookup N=1000,1000,6.5506
8,hash_path,Merkle-style hash-path update N=1000,1000,8.280299999999999
9,crypto,SHA-256 (256 B),2000,1.19255
9,crypto,HMAC-SHA256 (256 B),2000,1.742
9,crypto,AES-128-GCM encrypt (256 B),2000,0.6608999999999999
9,crypto,AES-128-GCM decrypt (256 B),2000,0.6673
9,crypto,ECDSA-P256 sign,300,20.050666666666668
9,crypto,ECDSA-P256 verify,300,49.08533333333334
9,crypto,ECDH-P256 shared secret,300,36.373333333333335
9,crypto,ECC-P256 key generation,80,11.70375
9,crypto,X25519 shared secret,600,22.236833333333333
9,crypto,RSA-2048 sign,50,403.836
9,crypto,RSA-2048 verify,300,17.15066666666667
9,hash_path,Merkle-style hash-path lookup N=1,1000,0.8647
9,hash_path,Merkle-style hash-path update N=1,1000,2.1875
9,hash_path,Merkle-style hash-path lookup N=10,1000,2.6615
9,hash_path,Merkle-style hash-path update N=10,1000,3.836
9,hash_path,Merkle-style hash-path lookup N=50,1000,3.6693000000000002
9,hash_path,Merkle-style hash-path update N=50,1000,5.5152
9,hash_path,Merkle-style hash-path lookup N=100,1000,4.293
9,hash_path,Merkle-style hash-path update N=100,1000,5.7466
9,hash_path,Merkle-style hash-path lookup N=200,1000,5.4533000000000005
9,hash_path,Merkle-style hash-path update N=200,1000,6.5275
9,hash_path,Merkle-style hash-path lookup N=500,1000,5.5809
9,hash_path,Merkle-style hash-path update N=500,1000,6.9873
9,hash_path,Merkle-style hash-path lookup N=1000,1000,5.9506000000000006
9,hash_path,Merkle-style hash-path update N=1000,1000,7.5511
10,crypto,SHA-256 (256 B),2000,1.1153499999999998
10,crypto,HMAC-SHA256 (256 B),2000,1.61525
10,crypto,AES-128-GCM encrypt (256 B),2000,0.57785
10,crypto,AES-128-GCM decrypt (256 B),2000,0.59045
10,crypto,ECDSA-P256 sign,300,19.014333333333333
10,crypto,ECDSA-P256 verify,300,48.61866666666666
10,crypto,ECDH-P256 shared secret,300,36.510666666666665
10,crypto,ECC-P256 key generation,80,13.075
10,crypto,X25519 shared secret,600,24.87066666666667
10,crypto,RSA-2048 sign,50,420.068
10,crypto,RSA-2048 verify,300,16.025666666666666
10,hash_path,Merkle-style hash-path lookup N=1,1000,0.8042
10,hash_path,Merkle-style hash-path update N=1,1000,2.1048
10,hash_path,Merkle-style hash-path lookup N=10,1000,2.691
10,hash_path,Merkle-style hash-path update N=10,1000,4.2441
10,hash_path,Merkle-style hash-path lookup N=50,1000,3.9349000000000003
10,hash_path,Merkle-style hash-path update N=50,1000,5.257
10,hash_path,Merkle-style hash-path lookup N=100,1000,4.5083
10,hash_path,Merkle-style hash-path update N=100,1000,5.8969
10,hash_path,Merkle-style hash-path lookup N=200,1000,4.9997
10,hash_path,Merkle-style hash-path update N=200,1000,6.8785
10,hash_path,Merkle-style hash-path lookup N=500,1000,5.6372
10,hash_path,Merkle-style hash-path update N=500,1000,7.582
10,hash_path,Merkle-style hash-path lookup N=1000,1000,6.163600000000001
10,hash_path,Merkle-style hash-path update N=1000,1000,8.3529
11,crypto,SHA-256 (256 B),2000,1.2137
11,crypto,HMAC-SHA256 (256 B),2000,1.81945
11,crypto,AES-128-GCM encrypt (256 B),2000,0.5965
11,crypto,AES-128-GCM decrypt (256 B),2000,0.6312000000000001
11,crypto,ECDSA-P256 sign,300,19.89033333333333
11,crypto,ECDSA-P256 verify,300,55.43966666666667
11,crypto,ECDH-P256 shared secret,300,39.20133333333334
11,crypto,ECC-P256 key generation,80,17.05125
11,crypto,X25519 shared secret,600,26.02133333333333
11,crypto,RSA-2048 sign,50,453.43
11,crypto,RSA-2048 verify,300,18.71166666666667
11,hash_path,Merkle-style hash-path lookup N=1,1000,0.8583999999999999
11,hash_path,Merkle-style hash-path update N=1,1000,2.2528
11,hash_path,Merkle-style hash-path lookup N=10,1000,2.8571
